livro_id,titulo,autor_id
AD222,Alanna Saves the Day,BH149
AK974,Adventures of Kaya,WH901
AM124,A Horrible Human with the Habits of a Monster,KD840
AY135,And I Said Yes,EK605
BB194,Ballinby Boys,AM329
BC244,Banana Slug and the Lost Cow,HB302
BF374,Banana Slug and Xyr Friends,HB302
BF889,Banana Slug and the Glass Half Full,GG800
BR858,Banana Slug and the Mossy Rock,MW974
BS284,Burnished Silver,LD375
CC830,Cimornul,JH502
CH391,Can I Be Honest?,CF829
CP573,Concerning Prophecy,GH671
DE571,Don t Check your Ego,RL217
DG384,The Deep Grey,RM781
DR914,Dust on the Rim,KY296
DY800,Did You Hear?,LD375
HP265,Heliotrope Pajamas,MW974
HS107,Hashtag QuokkaSelfie,LL585
IA439,Interrobangs for All,EK605
IC739,Inconvenient Confessions: a memoir,OL640
IG460,It s Never Just a Glass,LN356
KA663,Kalakalal Avenue,EK605
LB510,Lace and Brandy,LD375
LS176,Land Water Sky Space,EH487
MM424,(im)Mortality,CW626
MW621,Muddy Waters,LD375
NB483,Not to Gossip But,GG800
NC652,Nothing But Capers,AS443
NL209,No More Lightning,CF829
NP937,Natural Pamplemousse,PB147
NR695,9803 North Millworks Road,CS190
PA169,Post Alley,BM856
PP866,Portmeirion,BT132
QQ737,Quiddity and Quoddity,JH502
RR774,Rystwyth,BT132
SE355,Saint Esme,LD375
SS361,Some Eggs or Something?,LK915
SS693,Say it with Snap!,JS525
ST303,Soft Pliable Truth,RP438
ST862,She Also Tottered,RP438
TA182,The Spark and The Ashes,UK129
TC188,Thatchwork Cottage,BM856
TC401,Tales of the Compass,KY296
TH143,The Elephant House,JS525
TH296,The Winchcombe Railway Museum Heist,CS190
TH556,The Startling End of Mr. Hidhoo,JK592
TI225,The Thing Is,GG800
TM925,The Mallemaroking,BT132
TO369,The Scent of Oranges,LD375
TP887,the life and times of an utterly inconsequential person,DB605
TS869,The Seawitch Sings,LD375
TT359,Turn Left Til You Get There,KE397
TT773,The Triscanipt,UK129
WG715,Whither Thou Goest,LD375
WK456,Who Did You Think You Were Kidding?,PA878
WO506,We re Sisters and We Kinda Like Each Other,PH273
ZT703,Zero over Twelve,BM856
