data,isbn,desconto,item_id,ordem_id
2/1/2020,989-28-3705-007-2,,107020-91-8011,107020-1
2/1/2020,989-28-79-11297-4,,107020-9-3293,107020-10
2/1/2020,989-28-79-11297-4,,107020-91-4622,107020-11
2/1/2020,989-28-79-18127-7,,107020-38-4663,107020-12
2/1/2020,989-28-79-82197-5,"0,15",107020-1-1485,107020-13
2/1/2020,989-28-79-05638-4,,107020-52-7106,107020-14
2/1/2020,989-28-654-5018-9,,107020-93-2425,107020-15
2/1/2020,989-28-79-69807-2,,107020-1-6589,107020-16
2/1/2020,989-28-79-69807-2,,107020-44-1929,107020-17
2/1/2020,989-28-79-05670-4,,107020-37-9059,107020-18
2/1/2020,989-28-79-82749-6,,107020-34-6800,107020-19
2/1/2020,989-28-3705-987-7,,107020-1-850,107020-2
2/1/2020,989-28-79-82125-8,,107020-78-6994,107020-20
2/1/2020,989-28-79-69807-2,,107020-89-7892,107020-21
2/1/2020,989-28-79-69807-2,,107020-89-7891,107020-22
2/1/2020,989-28-79-05670-4,,107020-75-649,107020-23
2/1/2020,989-28-79-05670-4,,107020-16-5025,107020-24
2/1/2020,989-28-79-69807-2,,107020-1-6590,107020-25
2/1/2020,989-28-229-6632-6,"0,1",107020-80-960,107020-26
2/1/2020,989-28-229-1404-4,,107020-73-9433,107020-27
2/1/2020,989-28-229-1404-4,,107020-24-5674,107020-28
2/1/2020,989-28-79-13801-1,,107020-12-8333,107020-29
2/1/2020,989-28-3705-966-2,,107020-7-2469,107020-3
2/1/2020,989-28-79-23023-4,,107020-96-5059,107020-30
2/1/2020,989-28-79-13801-1,,107020-43-9356,107020-31
2/1/2020,989-28-79-36485-4,,107020-32-5821,107020-32
2/1/2020,989-28-79-91028-0,,107020-43-9068,107020-33
2/1/2020,989-28-79-23023-4,,107020-26-4804,107020-34
2/1/2020,989-28-79-23023-4,,107020-31-393,107020-35
2/1/2020,989-28-79-23023-4,,107020-99-281,107020-36
2/1/2020,989-28-3705-492-6,,107020-59-4445,107020-37
2/1/2020,989-28-3705-222-9,,107020-48-2656,107020-38
2/1/2020,989-28-79-68089-3,"0,05",107020-1-4349,107020-39
2/1/2020,989-28-79-82125-8,,107020-78-6993,107020-39
2/1/2020,989-28-3705-987-7,,107020-4-9809,107020-4
2/1/2020,989-28-229-5891-8,,107020-15-4933,107020-40
2/1/2020,989-28-79-13801-1,,107020-38-9642,107020-40
2/1/2020,989-28-3705-007-2,,107020-21-5668,107020-41
2/1/2020,989-28-79-13801-1,,107020-88-2782,107020-41
2/1/2020,989-28-3705-222-9,,107020-11-5263,107020-42
2/1/2020,989-28-3705-138-3,,107020-90-3176,107020-42
2/1/2020,989-28-3705-007-2,,107020-35-6051,107020-43
2/1/2020,989-28-3705-987-7,,107020-41-7081,107020-43
2/1/2020,989-28-3705-222-9,,107020-96-7633,107020-43
2/1/2020,989-28-3705-966-2,,107020-83-1238,107020-44
2/1/2020,989-28-3705-987-7,,107020-94-1392,107020-44
2/1/2020,989-28-79-82749-6,,107020-34-6799,107020-45
2/1/2020,989-28-79-13801-1,,107020-83-1442,107020-45
2/1/2020,989-28-79-07610-8,,107020-84-9479,107020-45
2/1/2020,989-28-79-05670-4,,107020-12-9072,107020-46
2/1/2020,989-28-79-11297-4,,107020-28-3922,107020-46
2/1/2020,989-28-79-69807-2,,107020-44-1930,107020-46
2/1/2020,989-28-3705-987-7,,107020-14-6317,107020-5
2/1/2020,989-28-3705-007-2,,107020-56-6967,107020-6
2/1/2020,989-28-3705-007-2,,107020-94-7785,107020-7
2/1/2020,989-28-79-21991-8,,107020-40-7921,107020-8
2/1/2020,989-28-79-30536-9,,107020-26-5296,107020-9
2/1/2020,989-28-79-82197-5,"0,15",107020-1-1296,107036-13
3/1/2020,989-28-79-68089-3,"0,05",107021-54-4671,107021-100
3/1/2020,989-28-79-13801-1,,107021-9-1363,107021-100
3/1/2020,989-28-229-6632-6,"0,1",107021-84-6083,107021-101
3/1/2020,989-28-3705-492-6,,107021-60-9776,107021-101
3/1/2020,989-28-3705-966-2,,107021-80-9209,107021-47
3/1/2020,989-28-3705-649-4,,107021-17-972,107021-48
3/1/2020,989-28-3705-987-7,,107021-98-7436,107021-49
3/1/2020,989-28-3705-007-2,,107021-8-8324,107021-50
3/1/2020,989-28-3705-007-2,,107021-18-9238,107021-51
3/1/2020,989-28-79-45675-7,,107021-4-4945,107021-52
3/1/2020,989-28-79-16826-1,,107021-12-3972,107021-53
3/1/2020,989-28-79-82197-5,"0,15",107021-1-4007,107021-54
3/1/2020,989-28-79-82197-5,"0,15",107021-1-6796,107021-56
3/1/2020,989-28-79-07610-8,,107021-4-1952,107021-57
3/1/2020,989-28-79-45675-7,,107021-74-8665,107021-58
3/1/2020,989-28-79-05638-4,,107021-68-9665,107021-59
3/1/2020,989-28-79-27078-0,,107021-2-2090,107021-60
3/1/2020,989-28-79-30536-9,,107021-87-4152,107021-61
3/1/2020,989-28-79-13871-4,,107021-44-4874,107021-62
3/1/2020,989-28-79-69807-2,,107021-3-5851,107021-63
3/1/2020,989-28-79-13871-4,,107021-80-1506,107021-64
3/1/2020,989-28-79-69807-2,,107021-3-5850,107021-65
3/1/2020,989-28-79-13871-4,,107021-44-4873,107021-66
3/1/2020,989-28-79-13871-4,,107021-80-1505,107021-67
3/1/2020,989-28-229-3157-7,,107021-67-194,107021-68
3/1/2020,989-28-229-7592-2,,107021-54-4419,107021-69
3/1/2020,989-28-229-1404-4,,107021-69-1249,107021-70
3/1/2020,989-28-229-1404-4,,107021-56-9502,107021-71
3/1/2020,989-28-229-1404-4,,107021-3-6494,107021-72
3/1/2020,989-28-79-71565-6,,107021-50-9602,107021-73
3/1/2020,989-28-79-74374-1,,107021-59-5674,107021-74
3/1/2020,989-28-79-91028-0,,107021-93-112,107021-75
3/1/2020,989-28-79-23023-4,,107021-2-1047,107021-76
3/1/2020,989-28-79-23023-4,,107021-30-989,107021-77
3/1/2020,989-28-79-26824-4,,107021-43-1691,107021-78
3/1/2020,989-28-79-91028-0,,107021-75-7868,107021-79
3/1/2020,989-28-79-23023-4,"0,13",107021-42-2946,107021-80
3/1/2020,989-28-79-55824-6,,107021-83-6720,107021-81
3/1/2020,989-28-79-71565-6,,107021-73-6463,107021-82
3/1/2020,989-28-79-74374-1,,107021-27-374,107021-83
3/1/2020,989-28-79-68089-3,"0,05",107021-81-754,107021-84
3/1/2020,989-28-79-13801-1,,107021-15-5438,107021-85
3/1/2020,989-28-79-13801-1,,107021-85-5147,107021-86
3/1/2020,989-28-79-74374-1,,107021-67-8660,107021-87
3/1/2020,989-28-79-40897-8,,107021-89-4668,107021-88
3/1/2020,989-28-79-74374-1,,107021-89-7469,107021-89
3/1/2020,989-28-79-74374-1,,107021-26-276,107021-90
3/1/2020,989-28-79-13801-1,,107021-54-291,107021-91
3/1/2020,989-28-79-40897-8,,107021-13-2005,107021-92
3/1/2020,989-28-79-23023-4,,107021-72-6141,107021-93
3/1/2020,989-28-3705-492-6,,107021-82-5599,107021-94
3/1/2020,989-28-3705-492-6,,107021-8-4515,107021-95
3/1/2020,989-28-3705-222-9,,107021-35-6264,107021-96
3/1/2020,989-28-3705-222-9,,107021-5-5556,107021-97
3/1/2020,989-28-3705-222-9,,107021-56-279,107021-98
3/1/2020,989-28-79-68089-3,"0,05",107021-6-4936,107021-99
3/1/2020,989-28-79-82197-5,"0,15",107021-1-3237,107021-99
3/1/2020,989-28-79-82197-5,"0,15",107021-1-6710,107021-99
3/1/2020,989-28-79-82197-5,"0,15",107021-1-6696,107047-55
4/1/2020,989-28-79-21991-8,,107022-99-8504,107022-102
4/1/2020,989-28-79-82197-5,,107022-17-9117,107022-103
4/1/2020,989-28-79-86624-2,,107022-4-5193,107022-104
4/1/2020,989-28-79-45675-7,,107022-11-3193,107022-105
4/1/2020,989-28-79-22871-2,,107022-88-4640,107022-106
4/1/2020,989-28-79-01991-4,,107022-3-9449,107022-107
4/1/2020,989-28-79-45675-7,,107022-18-9361,107022-108
4/1/2020,989-28-79-82749-6,,107022-80-9633,107022-109
4/1/2020,989-28-79-82749-6,,107022-80-9632,107022-110
4/1/2020,989-28-79-69807-2,,107022-62-988,107022-111
4/1/2020,989-28-79-13871-4,,107022-83-8097,107022-112
4/1/2020,989-28-79-05670-4,,107022-79-9700,107022-113
4/1/2020,989-28-79-05670-4,,107022-8-2279,107022-114
4/1/2020,989-28-79-82749-6,,107022-8-5877,107022-115
4/1/2020,989-28-79-13871-4,,107022-83-8096,107022-116
4/1/2020,989-28-79-13871-4,,107022-6-5115,107022-117
4/1/2020,989-28-79-13871-4,,107022-6-5114,107022-118
4/1/2020,989-28-79-22562-9,,107022-48-910,107022-119
4/1/2020,989-28-79-22562-9,,107022-10-2013,107022-120
4/1/2020,989-28-79-82749-6,,107022-8-5876,107022-121
4/1/2020,989-28-79-69807-2,,107022-97-5209,107022-122
4/1/2020,989-28-79-69807-2,,107022-97-5208,107022-123
4/1/2020,989-28-79-69807-2,,107022-62-987,107022-124
4/1/2020,989-28-229-5891-8,,107022-73-5512,107022-125
4/1/2020,989-28-229-7592-2,,107022-65-4088,107022-126
4/1/2020,989-28-229-6632-6,"0,1",107022-8-1340,107022-127
4/1/2020,989-28-229-0197-6,,107022-65-3611,107022-128
4/1/2020,989-28-229-9769-6,,107022-58-7168,107022-129
4/1/2020,989-28-229-3157-7,,107022-46-382,107022-130
4/1/2020,989-28-229-9769-6,,107022-52-6466,107022-131
4/1/2020,989-28-79-26824-4,,107022-40-6414,107022-132
4/1/2020,989-28-79-91028-0,,107022-36-6352,107022-133
4/1/2020,989-28-79-13801-1,,107022-56-3405,107022-134
4/1/2020,989-28-79-13801-1,,107022-35-7,107022-135
4/1/2020,989-28-79-23023-4,,107022-58-8003,107022-136
4/1/2020,989-28-79-23023-4,,107022-6-471,107022-137
4/1/2020,989-28-79-74374-1,,107022-97-9565,107022-138
4/1/2020,989-28-79-13801-1,,107022-89-3684,107022-139
4/1/2020,989-28-79-55824-6,,107022-8-4653,107022-140
4/1/2020,989-28-79-13801-1,,107022-63-5234,107022-141
